"Advanced Events";"Events"
"Greece";"Greece"
"Greenland";"Greenland"
"Grenada";"Grenada"
"Guadeloupe";"Guadeloupe"
"Guam";"Guam"
"Guatemala";"Guatemala"
"Guernsey";"Guernsey"
"Guinea";"Guinea"
"Guinea-Bissau";"Guinea-Bissau"
"Guyana";"Guyana"
"Haiti";"Haiti"
"Heard Island and McDonald Islands";"Heard Island and McDonald Islands"
"Honduras";"Honduras"
"Hong Kong SAR China";"Hong Kong SAR China"
"Hungary";"Hungary"
"Iceland";"Iceland"
"India";"India"
"Indonesia";"Indonesia"
"Iran";"Iran"
"Iraq";"Iraq"
"Ireland";"Ireland"
"Isle of Man";"Isle of Man"
"Israel";"Israel"
"Italy";"Italy"
"Jamaica";"Jamaica"
"Japan";"Japan"
"Jersey";"Jersey"
"Johnston Island";"Johnston Island"
"Jordan";"Jordan"
"Kazakhstan";"Kazakhstan"
"Kenya";"Kenya"
"Kiribati";"Kiribati"
"Kuwait";"Kuwait"
"Kyrgyzstan";"Kyrgyzstan"
"Laos";"Laos"
"Latvia";"Latvia"
"Lebanon";"Lebanon"
"Lesotho";"Lesotho"
"Liberia";"Liberia"
"Libya";"Libya"
"Liechtenstein";"Liechtenstein"
"Lithuania";"Lithuania"
"Luxembourg";"Luxembourg"
"Macau SAR China";"Macau SAR China"
"Macedonia";"Macedonia"
"Madagascar";"Madagascar"
"Malawi";"Malawi"
"Malaysia";"Malaysia"
"Maldives";"Maldives"
"Mali";"Mali"
"Malta";"Malta"
"Marshall Islands";"Marshall Islands"
"Martinique";"Martinique"
"Mauritania";"Mauritania"
"Mauritius";"Mauritius"
"Mayotte";"Mayotte"
"Metropolitan France";"Metropolitan France"
"Mexico";"Mexico"
"Micronesia";"Micronesia"
"Midway Islands";"Midway Islands"
"Moldova";"Moldova"
"Monaco";"Monaco"
"Mongolia";"Mongolia"
"Montenegro";"Montenegro"
"Montserrat";"Montserrat"
"Morocco";"Morocco"
"Mozambique";"Mozambique"
Myanmar [Burma]"Favourites";"Myanmar [Burma]"
"Namibia";"Namibia"
"Nauru";"Nauru"
"Nepal";"Nepal"
"Netherlands";"Netherlands"
"Netherlands Antilles";"Netherlands Antilles"
"Neutral Zone";"Neutral Zone"
"New Caledonia";"New Caledonia"
"New Zealand";"New Zealand"
"Nicaragua";"Nicaragua"
"Niger";"Niger"
"Nigeria";"Nigeria"
"Niue";"Niue"
"Norfolk Island";"Norfolk Island"
"North Korea";"North Korea"
"North Vietnam";"North Vietnam"
"Northern Mariana Islands";"Northern Mariana Islands"
"Norway";"Norway"
"Oman";"Oman"
"Pacific Islands Trust Territory";"Pacific Islands Trust Territory"
"Pakistan";"Pakistan"
"Palau";"Palau"
"Favourites";"Favourites"
"Uncategorized";"Uncategorized"
"Uncategorize";"Uncategorize"
"Entertainment";"Entertainment"
"Food & Festivals";"Food & Festivals"
"Business & Technology";"Business & Technology"
"Shopping & Sales";"Shopping & Sales"
"Sports & Adventure";"Sports & Adventure"
"Health & Social";"Health & Social"
"History & Spirituality";"History & Spirituality"
"Convention";"Convention"
"Popular Categories";"Popular Categories"
"Browse Events";"Browse Events"
"Browse Lists";"Browse Lists"
"Event Home";"Event Home"
"Browse Categories";"Browse Categories"
"Calender";"Calender"
"Locations";"Locations"
"My Tickets";"My Tickets"
"Browse Hosts";"Browse Hosts"
"More +";"More +"
"Popular Events";"Popular Events"
"Popular Tags";"Popular Tags"
"Search Events/Keyword:";"Search Events/Keyword:"
"Nobody has created a event with that criteria.";"Nobody has created a event with that criteria."
"Search Events";"Search Events"
"Browse By:";"Browse By:"
"Sub Category";"Sub Category"
"3rd Category";"3rd Category"
"Alphabet:";"Alphabet:"
"Start Date:";"Start Date::"
"End Date:";"End Date:"
"Miles:";"Miles:"
"Country:";"Country:"
"State:";"State:"
"City:";"City:"
"Zip:";"Zip:"
"Venue:";"Venue:"
"There are currently no list created yet.";"There are currently no list created yet"
"Search List";"Search List"
"View";"Views"
"List By";"List By"
"Most Joined";"Most Joined"
"Everyone's Events";"Everyone's Events"
"Only My Friend's Events";"Only My Friend's Events"
"Ongoing Events";"Ongoing Events"
"This Weekends";"This Weekends"
"Upcomming Events";"Upcomming Events"
"Everyone's Lists";"Everyone's Lists"
"Only My Friends' Lists";"Only My Friends' Lists"
"Select Popularity";"Select Popularity"
"Most Recent";"Most Recent"
"Only Featured";"Only Featured"
"Only Sponsored";"Only Sponsored"
"Most Viewed";"Most Viewed"
"Most Event List";"Most Event List"
"Most Favorite";"Most Favorite"
"Locations";"Locations"
"Owned Events";"Owned Events"
"Joined Events Only";"Joined Events Only"
"Hosted Events Only";"Hosted Events Only"
"Saved Events";"Saved Events"
"Liked Events";"Liked Events"
"Favourite Events";"Favourite Events"
"Featured Events";"Featured Events"
"Sponsored Events";"Sponsored Events"
"Verified Events";"Verified Events"
"My Lists";"My Lists"
"My Hosts";"My Hosts"
"Custom Url";"Custom Url"
"Check Availability";"Check Availability"
"Location";"Location"
"Online Event";"Online Event"
"Enter Address";"Enter Address"
"Timezone Setting";"Timezone Setting"
"2nd-level Category";"2nd-level Category"
"3rd-level Category";"3rd-level Category"
"Profile Type";"Profile Type"
"Custom Term And Condition";"Custom Term And Condition"
"Term And Condition Description";"Term And Condition Description"
"Tags (Keywords)";"Tags (Keywords)"
"Add photo for your event";"Add photo for your event"
"Choose Category";"Choose Category"
"Organizer Name";"Organizer Name"
"Cancel";"Cancel"
"Choose Host";"Choose Host"
"+ Add New";"+ Add New"
"Please select type";"Please select type"
"Off-Site";"Off-Site"
"On-Site";"On-Site"
"Myself";"Myself"
"View Privacy";"View Privacy"
"Comment Privacy";"Comment Privacy"
"Photo Upload Privacy";"Photo Upload Privacy"
"Topic Post Privacy";"Topic Post Privacy"
"Who may post topics to this event?";"Who may post topics to this event?"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Save Changes";"Save Changes"
"cancel";"cancel"
"Saved As Draft";"Saved As Draft"
"Published";"Published"
"Host Name";"Host Name"
"Host Email";"Host Email"
"Host Phone";"Host Phone"
"Host Description";"Host Description"
"Select Your Time Zone";"Select Your Time Zone"
"Enter a location";"Enter a location"
"No Map";"No Map"
"Venue Name";"Venue Name"
"Address";"Address"
"Address 2";"Address 2"
"City";"City"
"State";"State"
"Zip";"Zip"
"Reset Location";"Reset Location"
"Separate tags with commas.";"Separate tags with commas."
"Event Categories";"Event Categories"
"There are currently no hosts.";"There are currently no hosts."
"Search Host";"Search Host"
"Enter Host Name";"Enter Host Name"
"Creation Date";"Creation Date"
"View Count";"View Count"
"Favourite Count";"Favourite Count"
"Most Event";"Most Event"
"Basic Info";"Basic Info"
"Created by";"Created by"
"Created on";"Created on"
"Stats";"Stats"
"When & Where";"When & Where"
"When";"When"
"Tags";"Tags"
"Details";"Details"
"Recently Viewed by You";"Recently Viewed by You"
"Info";"Info"
"Nothing has been posted here yet - be the first!";"Nothing has been posted here yet - be the first!"
"Share";"Share"
"Add Link";"Add Link"
"Add Music";"Add Music"
"Add Video";"Add Video"
"Add Photo";"Add Photo"
"Updates";"Updates"
"Add Overview";"Add Overview"
"There are currently no Overview.";"There are currently no Overview."
"Post Comment";"Post Comment"
"Like This";"Like This"
"Overview";"Overview"
"All";"All"
"Approval or Waiting Request";"Approval or Waiting Request"
"Add New Album";"Add New Album"
"%s Album";"%s Album";"%s Albums"
"%s album found";"%s album found";"%s albums found"
"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this album.";"Choose photos on your computer to add to this album."
"Choose Album";"Choose Album"
"Create A New Album";"Create A New Album"
"Untitled";"Untitled"
"Album Title";"Album Title"
"Album Description";"Album Description"
"Drag & Drop";"Drag & Drop"
"Multi Upload";"Multi Upload"
"From URL";"From URL"
"Drag & Drop Photos Here";"Drag & Drop Photos Here"
"Enter Image URL to upload";"Enter Image URL to upload"
"Upload";"Upload"
"Save Photos";"Save Photos"
"Manage Speakers";"Manage Speakers"
"Post New Topic";"Post New Topic"
"Title";"Title"
"Send me notifications when other members reply to this topic.";"Send me notifications when other members reply to this topic."
"Dashboard";"Dashboard"
"Add to Favourite";"Add to Favourite"
"Maybe";"Maybe"
"Not";"Not"
"Share on Twitter";"Share on Twitter"
"Share on Pintrest";"Share on Pintrest"
"Add to List";"Add to List"
"Share on Facebook";"Share on Facebook"
"Likes";"Likes"
"Comments";"Comments"
"CommentsSESADV";"Comments"
"CommentSESADV";"Comment"
"Views";"Views"
"Favourites";"Favourites"
"Guest";"Guest"
"Hosted By";"Hosted By"
"Recently Viewed Events";"Recently Viewed Events"
"Most Liked Events";"Most Liked Events"
"Top Rated Events";"Top Rated Events"
"Most Favourite Events";"Most Favourite Events"
"Most Commented Events";"Most Commented Events"
"EVENT";"EVENT";"EVENTS"
"%s EVENT";"%s EVENT";"%s EVENTS"
"event";"event";"events"
"event found.";"event found."
"events found.";"events found."
"%s event found.";"%s event found.";"%s events found."
"Event ongoing.";"Event Ongoing."
"Save this event";"Save this event"
"Change Event Overview";"Change Event Overview"
"Event not started";"Event not started"
"Detailed Overview";"Detailed Overview"
"Enter detailed overview about the Event.";"Enter detailed overview about the Event."
"Seo";"Seo"
"Background Photo";"Background Photo"
"Contact Information";"Contact Information"
"Manage Event";"Manage Event"
"Latest";"Latest"
"Ongoings";"Ongoings"
"This Weeks";"This Weeks"
"This Months";"This Months"
"List View";"List View"
"Nobody has created a video yet.";"Nobody has created a video yet."
"No review have been posted in this event yet.";"No review have been posted in this event yet."
"Write a Review";"Write a Review"
"Write a Review for "";"Write a Review for ""
"Please fill below information.";"Please fill below information."
"Overall Rating";"Overall Rating"
"click to rate";"click to rate"
"terrible";"terrible"
"poor";"poor"
"average";"average"
"very good";"very good"
"excellent";"excellent"
"Review Title";"Review Title"
"Pros";"Pros"
"Cons";"Cons"
"Description";"Description"
"Recommended";"Recommended"
"Do you recommended this review to user?";"Do you recommended this review to user?"
"Yes";"Yes"
"No";"No"
"Submit";"Submit"
"Manage Speaker";"Manage Speaker"
"Who may upload videos to this event?";"Who may upload videos to this event?"
"No speaker added yet.";"No speaker added yet."
"My Created Speaker";"My Created Speaker"
"Add Admin Created Speaker";"Add Admin Created Speaker"
"Add Site Member as Speaker";"Add Site Member as Speaker"
"Add Speaker";"Add Speaker"
"Add New Speaker";"Add New Speaker"
"Here, you can add details for the new speaker to be added to your event and enter various information about the speaker like Photo, Description, Email, Social URLs, etc.";"Here, you can add details for the new speaker to be added to your event and enter various information about the speaker like Photo, Description, Email, Social URLs, etc."
"Speaker";"Speaker"
"Enter the name of speaker to be added as speaker to your website.";"Enter the name of speaker to be added as speaker to your website."
"Profile Photo";"Profile Photo"
"Choose a profile photo for the speaker.";"Choose a profile photo for the speaker."
"Enter short description about the speaker. [The description should be of 300 characters only.]";"Enter short description about the speaker. [The description should be of 300 characters only.]"
"Enter email address of the speaker.";"Enter email address of the speaker."
"Enter location of the speaker from the auto-suggest below. [When clicked location will open in Google Map.]";"Enter location of the speaker from the auto-suggest below. [When clicked location will open in Google Map.]"
"Phone";"Phone"
"Enter phone number of the speaker.";"Enter phone number of the speaker."
"Website";"Website"
"Enter website of the speaker.";"Enter website of the speaker."
"Facebook URL";"Facebook URL"
"Twitter URL";"Twitter URL"
"LinkedIn URL";"LinkedIn URL"
"Google Plus URL";"Google Plus URL"
"Enter URL of the Facebook Profile or Page of the speaker.";"Enter URL of the Facebook Profile or Page of the speaker."
"Enter URL of the Twitter Profile of the speaker.";"Enter URL of the Twitter Profile of the speaker."
"Enter URL of the LinkedIn Profile of the speaker.";"Enter URL of the LinkedIn Profile of the speaker."
"Enter URL of the Google Plus Profile of the speaker.";"Enter URL of the Google Plus Profile of the speaker."
"Add";"Add"
"Enter name of speaker";"Enter name of speaker"
"Add background photo for your event";"Add background photo for your event"
"Save";"Save"
"Add Seo";"Add Seo"
"Event Seo Title";"Event Seo Title"
"Event Seo Keywords";"Event Seo Keywords"
"Enter list of keywords seperated by a comma (,)";"Enter list of keywords seperated by a comma (,)"
"Event Seo Description";"Event Seo Description"
"Save Changes";"Save Changes"
"Event Contact Information";"Event Contact Information"
"Event Contact Name";"Event Contact Name"
"Event Contact Email";"Event Contact Email"
"Event Contact Phone";"Event Contact Phone"
"Event Contact Facebook URL";"Event Contact Facebook URL"
"Event Contact Linkedin URL";"Event Contact Linkedin URL"
"Event Contact Twitter URL";"Event Contact Twitter URL"
"Event Contact Website URL";"Event Contact Website URL"
"Change Photo";"Change Photo"
"There are currently no speakers.";"There are currently no speakers."
"%s speaker found.";"%s speaker found.";"%s speakers found."
"Name";"Name"
"Enabled";"Enabled"
"Option";"Option"
"Manage Tickets";"Manage Tickets"
"Create New Tickets";"Create New Tickets"
"Print Ticket Details";"Print Ticket Details"
"Search Ticket";"Search Ticket"
"Account Details";"Account Details"
"Sales Statistics";"Sales Statistics"
"Manage Orders";"Manage Orders"
"Sales Reports";"Sales Reports"
"Payment Requests";"Payment Requests"
"Paid Ticket";"Paid Ticket"
"Free Ticket";"Free Ticket"
"Currency";"Currency"
"Timezone";"Timezone"
"Max Qty on Sale";"Max Qty on Sale"
"Description";"Description"
"Min Qty";"Min Qty"
"Max Qty";"Max Qty"
"Add Taxes";"Add Taxes"
"Create";"Create"
"Create Ticket";"Create Ticket"
"Description on ticket";"Description on ticket"
"Title under logo";"Title under logo"
"Order Id";"Order Id"
"Registration Number";"Registration Number"
"Buyer Name";"Buyer Name"
"Please search ticket from search form.";"Please search ticket from search form."
"Choose Type";"Choose Type"
"Paid";"Paid"
"Free";"Free"
"API Username";"API Username"
"API Password";"API Password"
"API Signature";"API Signature"
"Enabled?";"Enabled?"
"Order Date (2015-12-29)";"Order Date (2015-12-29)"
"Order Total";"Order Total"
"Commision";"Commision"
"Gateway";"Gateway"
"No order has been placed yet.";"No order has been placed yet."
"%s order(s) found.";"%s order found.";"%s orders found."

"Videos Home";"Videos Home"
"Nobody has created a video with that criteria.";"Nobody has created a video with that criteria."
"Buy Ticket";"Buy Ticket"
"No events in this category. Be the first to post one in this category!";"No events in this category. Be the first to post one in this category!"
"Categories";"Categories"
"Post New Video";"Post New Video"
"Add New Video";"Add New Video"
"Video Source";"Video Source"
"Vimeo";"Vimeo"
"Daily Motion";"Daily Motion"
"From Embed Code";"From Embed Code"
"Video Description";"Video Description"
"Privacy";"Privacy"
"Who may see this video?";"Who may see this video?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this video?";"Who may post comments on this video?"
"Video Title";"Video Title"
"Videos";"Videos"
"Reviews";"Reviews"
"Speakers";"Speakers"
"Top Rated Videos";"Top Rated Videos"
"Popular Videos";"Popular Videos"
"Most Viewed Videos";"Most Viewed Videos"
"Most Liked Videos";"Most Liked Videos"
"Most Commented Videos";"Most Commented Videos"
"Most Favourite Videos";"Most Favourite Videos"
"Most Recent Videos";"Most Recent Videos"
"Featured Videos";"Featured Videos"
"Sponsored Videos";"Sponsored Videos"
"Hot Videos";"Hot Videos"
"Video of the Day";"Video of the Day"
"%s host found.";"%s host found.";"%s hosts found."
"Host of the Day";"Host of the Day"
"Most Favourite Hosts";"Most Favourite Hosts"
"Most Viewed Hosts";"Most Viewed Hosts"
"Edit Host";"Edit Host"
"Delete Host";"Delete Host"
"Delete Review";"Delete Review"
"My Videos";"My Videos"
"My Videos";"Speakers"
"Edit Review";"Edit Review"
"Share Review";"Share Review"
"Post Reply";"Post Reply"
"Stop Watching Topic";"Stop Watching Topic"
"Make Sticky";"Make Sticky"
"Close";"Close"
"Speakers";"Speakers"

"Add to Calendar";"Add to Calendar"
"ITEM_TYPE_SESEVENT_HOST";"Event Host"
"ITEM_TYPE_SESEVENT_TICKET";"SesEvent Ticket"
"Everywhere";"Everywhere"
"Search";"Search"

"Event";"Event"
"Events";"Events"
"Event Photos";"Event Photos"
"Past Events";"Past Events"
"My Events";"My Events"
"view";"view"
"Photo";"Photo"
"of";"of"
"Prev";"Prev"
"Next";"Next"
"By";"By"
"View All Events";"View All Events"


"Start date must be less than end date";"Start date must be less than end date"
"Please complete the red mark fields";"Please complete the red mark fields"
"Payment Statistics";"Payment Statistics"
"Owner";"Owner"
"Requested Amount";"Requested Amount"
"Requested Message";"Requested Message"
"Release Amount";"Release Amount"
"Response Message";"Response Message"
"Status";"Status"
"Close";"Close"
"Event Expires.";"Event Expired."
"View Event";"View Event"
"Manage Blog Requests";"Manage Blog Requests"
"Something went wrong,please try again later";"Something went wrong,please try again later"
"Start date must be less than end date.";"Start date must be less than end date."
"Please complete the red mark fields";"Please complete the red mark fields"
"Manage Event Ticket";"Manage Event Ticket"
"ID";"ID"
"Ticket Name";"Ticket Name"
"Type";"Type"
"Price";"Price"
"Start Time";"Start Time"
"End Time";"End Time"
"Total";"Total"
"Options";"Options"
"Edit Ticket";"Edit Ticket"
"Delete Ticket";"Delete Ticket"
"No ticket created yet.";"No ticket created yet."
"Payment Request";"Payment Request"
"Threshold Amount:";"Threshold Amount:"
"Total Orders";"Total Orders"
"Total Tickets";"Total Tickets"
"Total Commission Amount";"Total Commission Amount"
"Total Remaining Amount";"Total Remaining Amount"
"Request Id";"Request Id"
"Amount Requested";"Amount Requested"
"Requested Date";"Requested Date"
"Release Message";"Release Message"
"Status";"Status"
"Options";"Options"
"Edit Request";"Edit Request"
"Delete Request";"Delete Request"
"View Details";"View Details"
"No request made yet.";"You have not any pending payment resquests yet."
"Payment Transactions";"Payment Transactions"
"Release Date";"Release Date"
"No transaction made yet.";"No transaction made yet."
"Download Report in Excel";"Download Report in Excel"
"Download Report in CSV";"Download Report in CSV"
"S.No";"S.No"
"Payment details not submited yet %1$sClick Here%2$s to submit.";"Payment details not submited yet %1$sClick Here%2$s to submit."
"Quatity";"Quatity"
"Service Tax Amount";"Service Tax Amount"
"Entertainment Tax Amount";"Entertainment Tax Amount"
"Total Tax Amount";"Total Tax Amount"
"Commission Amount";"Commission Amount"
"FREE";"FREE"
"No ticket sold yet.";"No ticket sold yet."
"Sales Stats";"Sales Stats"
"Today";"Today"
"This Week";"This Week"
"This Month";"This Month"
"Ticket Statistics";"Ticket Statistics"
"Total Order";"Total Order"
"Total Ticket Solds";"Total Ticket Solds"
"Please scan the two-dimensional code, complete payment";"Please scan the two-dimensional code, complete payment"
"Pay with %1$s";"Pay with %1$s"
"Wechat site URL";"Wechat site URL"
"Something went wrong try again later.";"Something went wrong try again later."
"Pay";"Pay"
"Get Direction";"Get Direction"
"Order Summary";"Order Summary"
"Total Tax";"Total Tax"
"Grand Total";"Grand Total"
"Tickets Owner Details";"Tickets Owner Details"
"Enter Attendee Information for each Tickets. Fields that are marked (*) are mandatory.";"Enter Attendee Information for each Tickets. Fields that are marked (*) are mandatory."
"Owner Information";"Owner Information"
"First Name";"First Name"
"Last Name";"Last Name"
"Mobile";"Mobile"
"Email";"Email"
"Do you need invoice";"Do you need invoice"
"Company Title";"Company Title"
"Fill Ticket detail same as owner";"Fill Ticket detail same as owner"
"Please enter first name.";"Please enter first name."
"Please enter last name.";"Please enter last name."
"Please enter valid email.";"Please enter valid email."
"Please enter valid mobile.";"Please enter valid mobile."
"Continue";"Continue"
"Event";"Event"
"Date+Time";"Date+Time"
"Order Info";"Order Info"
"Order #%s. Ordered by %s on %s";"Order #%s. Ordered by %s on %s"
"Attendee Info";"Attendee Info"
"Payment Method";"Payment Method"
"You're going to %s";"You're going to %s"
"Error Occured";"Error Occured"
"Share with friends";"Share with friends"
"Your order has been saved to My Tickets";"Your order has been saved to My Tickets"
"Your ticket has been sent to %s";"Your ticket has been sent to %s"
"Go To My Ticket";"Go To My Ticket"
"Go To Event";"Go To Event"
"%s Order #%s %s %s %s %s ticket(s)";"%s Order #%s %s %s %s %s ticket(s)"
"Back To My Tickets";"Back To My Tickets"
"Order Id:#%s";"Order Id:#%s"
"Total:";"Total:"
"Ordered For";"Ordered For"
"Ordered By";"Ordered By"
"Payment Information";"Payment Information"
"Payment method: %s";"Payment method: %s"
"Order Information";"Order Information"
"Ordered Date :";"Ordered Date :"
"Service Tax :";"Service Tax :"
"Entertainment Tax :";"Entertainment Tax :"
"Order Details";"Order Details"
"Sub Total";"Sub Total"
"Subtotal:";"Subtotal:"
"Current Orders";"Current Orders"
"Past Orders";"Past Orders"
"View Order";"View Order"
"Print Ticket";"Print Ticket"
"Email Ticket";"Email Ticket"
"There are no tickets to display.";"There are no tickets to display."
"Book Now";"Book Now"
"Ticket Type";"Ticket Type"
"Ticket Stats";"Ticket Stats"
"Quantity";"Quantity"
"* Exclusive of Service Tax";"* Exclusive of Service Tax"
"* Exclusive of Entertainment Tax";"* Exclusive of Entertainment Tax"
"%s out of %s tickets sold.";"%s out of %s tickets sold."
"%s ticket sold.";"%s ticket sold."
"Sold Out";"Sold Out"
"Total Amount";"Total Amount"
"Entertainment Tax";"Entertainment Tax"
"Service Tax";"Service Tax"
"Purchase Total";"Purchase Total"
"I confirm that I have read and agree to the";"I confirm that I have read and agree to the"
"Terms and Conditions";"Terms and Conditions"
"Please agree Term & Condition";"Please agree Term & Condition"
"Something went wrong,try again later";"Something went wrong,try again later"
"tickets left";"tickets left"
"No ticket available.";"No ticket available."
"Photo Albums";"Photo Albums"
"Please fill the red mark fields";"Please fill the red mark fields"
"Edit Photo";"Edit Photo"
"Cancel Uploading";"Cancel Uploading"
"Featured";"Featured"
"Sponsored";"Sponsored"
"Make Request For Payment.";"Make Request For Payment."
"Create New Ticket";"Create New Ticket"
"VERIFIED";"VERIFIED"
"Start & End Time";"Start & End Time"
"Please Enter valid amount";"Please Enter valid amount"
"Please Enter valid total quantity";"Please Enter valid total quantity"
"Please Enter valid min quantity";"Please Enter valid min quantity"
"Please Enter valid max quantity";"Please Enter valid max quantity"
"Currency Converter";"Currency Converter"
"Link Event";"Link Event"
"Submitting Form ...";"Submitting Form ..."
"Nobody has created an event with that criteria.";"Nobody has created an event with that criteria."
"You have no friends you can invite.";"You have no friends you can invite."
"Service Taxes :";"Service Taxes :"
"Entertainment Taxes :";"Entertainment Taxes :"
"Grand Total :";"Grand Total :"
"Follow";"Follow"
"Unfollow";"Unfollow"
"Webinar Event";"Webinar Event"
"Ticket ";"Ticket "
"There was an error processing your request.  Please try again later.";"There was an error processing your request.  Please try again later."
"Sponsorship";"Sponsorship"
"Your Sponsorship has been confirmed for Event %s";"Your Sponsorship has been confirmed for Event %s"
"Spnsorship Confirmed for %s";"Spnsorship Confirmed for %s"
"Sponsorship Name";"Sponsorship Name"
"No sponsorship sold yet.";"No sponsorship sold yet."
"Manage Sponsorships Requests";"Manage Sponsorships Requests"
"Requested User";"Requested User"
"Delete Requests";"Delete Requests"
"Email User";"Email User"
"No Sponsorship Request created yet.";"No Sponsorship Request created yet."
"Sponsorship Payment Transaction";"Sponsorship Payment Transaction"
"No sponsorship payment request made yet.";"No sponsorship payment request made yet."
"Manage Sponsorships";"Manage Sponsorships"
"Create New Sponsorship";"Create New Sponsorship"
"Sponsorship Title";"Sponsorship Title"
"Edit Sponsorship";"Edit Sponsorship"
"Delete Sponsorship";"Delete Sponsorship"
"Cancel Order";"Cancel Order"
"Sponsorship Information";"Sponsorship Information"
"Short Description";"Short Description"
"Website URL";"Website URL"
"Logo";"Logo"



"Delete Event:";"Delete Event:"
"Create New Event";"Create New Event"
"Edit Event";"Edit Event"
"Join Event";"Join Event"
"Leave Event";"Leave Event"
"Upload Photos";"Upload Photos"

"Nobody has created an event yet.";"Nobody has created an event yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"Tip: %1$sClick here%2$s to create a event or %3$sbrowse%2$s for events to join!";"Tip: %1$sClick here%2$s to create a event or %3$sbrowse%2$s for events to join!"

"event";"event";"events"
"%s event";"%s event";"%s events"
"%s event invite";"%s event invite";"%s event invites"
"%s guest";"%s guest";"%s guests"
"%s member";"%s member";"%s members"

"%s sesevent invite";"%s event invite";"%s event invites"

"Close";"Close"

"&#187; Photos";"&#187; Photos"
"&#187;";"&#187;"
"Photos";"Photos"


"Type a tag or select a name from the list.";"Type a tag or select a name from the list."
"Tagged:";"Tagged:"

"Added";"Added"
"ADD TAG";"ADD TAG"
"Add Tag";"Add Tag"
"Edit";"Edit"
"Delete";"Delete"
"Share";"Share"
"Report";"Report"
"Make Profile Photo";"Make Profile Photo"
"Quote";"Quote"

"&#187; Discussions";"&#187; Discussions"
"Discussions";"Discussions"

"Back to Event";"Back to Event"
"Post New Topic";"Post New Topic"
"reply";"reply";"replies"
"Last Post";"Last Post"

"Back to Topics";"Back to Topics"
"Post Reply";"Post Reply"
"Make Sticky";"Make Sticky"
"Remove Sticky";"Remove Sticky"
"Open";"Open"
"Rename";"Rename"
